# schizophrenia 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0005090) の関連遺伝子 500 件と、
# 承認薬の標的 39 件を必ず含む（重複を除いて 504 件）。
# 残り 4496 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
OR11H12	olfactory receptor family 11 subfamily H member 12	Olfactory receptor 11H12
OR11H4	olfactory receptor family 11 subfamily H member 4	Olfactory receptor 11H4
OR12D1	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	Olfactory receptor 12D1
OR12D3	olfactory receptor family 12 subfamily D member 3	Olfactory receptor 12D3
OR13A1	olfactory receptor family 13 subfamily A member 1	Olfactory receptor 13A1
OR13C3	olfactory receptor family 13 subfamily C member 3	Olfactory receptor 13C3
OR13C4	olfactory receptor family 13 subfamily C member 4	Olfactory receptor 13C4
OR13C5	olfactory receptor family 13 subfamily C member 5	Olfactory receptor 13C5
OR14A2	olfactory receptor family 14 subfamily A member 2	Olfactory receptor 14A2
OR1A1	olfactory receptor family 1 subfamily A member 1	Olfactory receptor 1A1
OR1D2	olfactory receptor family 1 subfamily D member 2	Olfactory receptor 1D2
OR1J4	olfactory receptor family 1 subfamily J member 4	Olfactory receptor 1J4
OR1N1	olfactory receptor family 1 subfamily N member 1	Olfactory receptor 1N1
OR1S1	olfactory receptor family 1 subfamily S member 1	Olfactory receptor 1S1
OR2A25	olfactory receptor family 2 subfamily A member 25	Olfactory receptor 2A25
OR2A42	olfactory receptor family 2 subfamily A member 42	
OR2AE1	olfactory receptor family 2 subfamily AE member 1	Olfactory receptor 2AE1
OR2AG1	olfactory receptor family 2 subfamily AG member 1	Olfactory receptor 2AG1
OR2AJ1	olfactory receptor family 2 subfamily AJ member 1	Olfactory receptor 2AJ1
OR2AP1	olfactory receptor family 2 subfamily AP member 1	Olfactory receptor 2AP1
OR2B11	olfactory receptor family 2 subfamily B member 11	Olfactory receptor 2B11
OR2B8	olfactory receptor family 2 subfamily B member 8 (gene/pseudogene)	Olfactory receptor 2B8
OR2D2	olfactory receptor family 2 subfamily D member 2	Olfactory receptor 2D2
OR2G2	olfactory receptor family 2 subfamily G member 2	Olfactory receptor 2G2
OR2H1	olfactory receptor family 2 subfamily H member 1	Olfactory receptor 2H1
OR2I1	olfactory receptor family 2 subfamily I member 1 (gene/pseudogene)	Putative olfactory receptor 2I1
OR2J1	olfactory receptor family 2 subfamily J member 1	Olfactory receptor 2J1
OR2K2	olfactory receptor family 2 subfamily K member 2	Olfactory receptor 2K2
OR2M2	olfactory receptor family 2 subfamily M member 2	Olfactory receptor 2M2
OR2T12	olfactory receptor family 2 subfamily T member 12	Olfactory receptor 2T12
OR2T3	olfactory receptor family 2 subfamily T member 3	Olfactory receptor 2T3
OR2T5	olfactory receptor family 2 subfamily T member 5	Olfactory receptor 2T5
OR2W3	olfactory receptor family 2 subfamily W member 3	Olfactory receptor 2W3
OR3A1	olfactory receptor family 3 subfamily A member 1	Olfactory receptor 3A1
OR4C45	olfactory receptor family 4 subfamily C member 45 (gene/pseudogene)	Olfactory receptor 4C45
OR4D1	olfactory receptor family 4 subfamily D member 1	Olfactory receptor 4D1
OR4D10	olfactory receptor family 4 subfamily D member 10	Olfactory receptor 4D10
OR4D2	olfactory receptor family 4 subfamily D member 2	Olfactory receptor 4D2
OR4E1	olfactory receptor family 4 subfamily E member 1	Olfactory receptor 4E1
OR4F16	olfactory receptor family 4 subfamily F member 16	
OR4F29	olfactory receptor family 4 subfamily F member 29	
OR4F3	olfactory receptor family 4 subfamily F member 3	
OR4F6	olfactory receptor family 4 subfamily F member 6	Olfactory receptor 4F6
OR4K1	olfactory receptor family 4 subfamily K member 1	Olfactory receptor 4K1
OR4K13	olfactory receptor family 4 subfamily K member 13	Olfactory receptor 4K13
OR4K14	olfactory receptor family 4 subfamily K member 14	Olfactory receptor 4K14
OR4K3	olfactory receptor family 4 subfamily K member 3 (gene/pseudogene)	Olfactory receptor 4K3
OR4K5	olfactory receptor family 4 subfamily K member 5	Olfactory receptor 4K5
OR51B2	olfactory receptor family 51 subfamily B member 2	Olfactory receptor 51B2
OR51D1	olfactory receptor family 51 subfamily D member 1	Olfactory receptor 51D1
OR51E2	olfactory receptor family 51 subfamily E member 2	Olfactory receptor 51E2
OR51F1	olfactory receptor family 51 subfamily F member 1	Olfactory receptor 51F1
OR51F2	olfactory receptor family 51 subfamily F member 2	Olfactory receptor 51F2
OR51I2	olfactory receptor family 51 subfamily I member 2	Olfactory receptor 51I2
OR51T1	olfactory receptor family 51 subfamily T member 1	Olfactory receptor 51T1
OR51V1	olfactory receptor family 51 subfamily V member 1	Olfactory receptor 51V1
OR52B4	olfactory receptor family 52 subfamily B member 4	Olfactory receptor 52B4
OR52B6	olfactory receptor family 52 subfamily B member 6	Olfactory receptor 52B6
OR52E5	olfactory receptor family 52 subfamily E member 5	Olfactory receptor 52E5
OR52E6	olfactory receptor family 52 subfamily E member 6	Olfactory receptor 52E6
OR52I1	olfactory receptor family 52 subfamily I member 1	Olfactory receptor 52I1
OR52I2	olfactory receptor family 52 subfamily I member 2	Olfactory receptor 52I2
OR52J3	olfactory receptor family 52 subfamily J member 3	Olfactory receptor 52J3
OR52K2	olfactory receptor family 52 subfamily K member 2	Olfactory receptor 52K2
OR52L1	olfactory receptor family 52 subfamily L member 1	Olfactory receptor 52L1
OR52N2	olfactory receptor family 52 subfamily N member 2	Olfactory receptor 52N2
OR52N5	olfactory receptor family 52 subfamily N member 5	Olfactory receptor 52N5
OR52R1	olfactory receptor family 52 subfamily R member 1	Olfactory receptor 52R1
OR56A3	olfactory receptor family 56 subfamily A member 3	Olfactory receptor 56A3
OR56A4	olfactory receptor family 56 subfamily A member 4	Olfactory receptor 56A4
OR56A5	olfactory receptor family 56 subfamily A member 5	Olfactory receptor 56A5
OR5AK2	olfactory receptor family 5 subfamily AK member 2	Olfactory receptor 5AK2
OR5AR1	olfactory receptor family 5 subfamily AR member 1	Olfactory receptor 5AR1
OR5B21	olfactory receptor family 5 subfamily B member 21	Olfactory receptor 5B21
OR5G3	olfactory receptor family 5 subfamily G member 3 (gene/pseudogene)	Olfactory receptor 5G3
OR5H14	olfactory receptor family 5 subfamily H member 14	Olfactory receptor 5H14
OR5H15	olfactory receptor family 5 subfamily H member 15	Olfactory receptor 5H15
OR5M11	olfactory receptor family 5 subfamily M member 11	Olfactory receptor 5M11
OR5M9	olfactory receptor family 5 subfamily M member 9	Olfactory receptor 5M9
OR5W2	olfactory receptor family 5 subfamily W member 2	Olfactory receptor 5W2
OR6B1	olfactory receptor family 6 subfamily B member 1	Olfactory receptor 6B1
OR6B3	olfactory receptor family 6 subfamily B member 3	Olfactory receptor 6B3
OR6C6	olfactory receptor family 6 subfamily C member 6	Olfactory receptor 6C6
OR6K2	olfactory receptor family 6 subfamily K member 2	Olfactory receptor 6K2
OR6M1	olfactory receptor family 6 subfamily M member 1	Olfactory receptor 6M1
OR6Q1	olfactory receptor family 6 subfamily Q member 1	Olfactory receptor 6Q1
OR6S1	olfactory receptor family 6 subfamily S member 1	Olfactory receptor 6S1
OR6X1	olfactory receptor family 6 subfamily X member 1	Olfactory receptor 6X1
OR7A17	olfactory receptor family 7 subfamily A member 17	Olfactory receptor 7A17
OR7C1	olfactory receptor family 7 subfamily C member 1	Olfactory receptor 7C1
OR8B12	olfactory receptor family 8 subfamily B member 12	Olfactory receptor 8B12
OR8B2	olfactory receptor family 8 subfamily B member 2	Olfactory receptor 8B2
OR8B3	olfactory receptor family 8 subfamily B member 3	Olfactory receptor 8B3
OR8D1	olfactory receptor family 8 subfamily D member 1	Olfactory receptor 8D1
OR8H1	olfactory receptor family 8 subfamily H member 1	Olfactory receptor 8H1
OR8J2	olfactory receptor family 8 subfamily J member 2 (gene/pseudogene)	Olfactory receptor 8J2
OR8K5	olfactory receptor family 8 subfamily K member 5	Olfactory receptor 8K5
OR8S1	olfactory receptor family 8 subfamily S member 1	Olfactory receptor 8S1
OR8U1	olfactory receptor family 8 subfamily U member 1	Olfactory receptor 8U1
OR9A2	olfactory receptor family 9 subfamily A member 2	Olfactory receptor 9A2
OR9G1	olfactory receptor family 9 subfamily G member 1	Olfactory receptor 9G1
OR9Q1	olfactory receptor family 9 subfamily Q member 1	Olfactory receptor 9Q1
ORMDL2	ORMDL sphingolipid biosynthesis regulator 2	ORM1-like protein 2
OSBP2	oxysterol binding protein 2	Oxysterol-binding protein 2
OSBPL10	oxysterol binding protein like 10	Oxysterol-binding protein-related protein 10
OSBPL11	oxysterol binding protein like 11	Oxysterol-binding protein-related protein 11
OSBPL8	oxysterol binding protein like 8	Oxysterol-binding protein-related protein 8
OSCAR	osteoclast associated Ig-like receptor	Osteoclast-associated immunoglobulin-like receptor
OSER1	oxidative stress responsive serine rich 1	Oxidative stress-responsive serine-rich protein 1
OSGIN1	oxidative stress induced growth inhibitor 1	Oxidative stress-induced growth inhibitor 1
OSR1	odd-skipped related transcription factor 1	Protein odd-skipped-related 1
OST4	oligosaccharyltransferase complex subunit 4, non-catalytic	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4
OTOF	otoferlin	Otoferlin
OTOP3	otopetrin 3	Proton channel OTOP3
OTP	orthopedia homeobox	Homeobox protein orthopedia
OTUD1	OTU deubiquitinase 1	OTU domain-containing protein 1
OTUD6B	OTU deubiquitinase 6B	Deubiquitinase OTUD6B
OTUD7A	OTU deubiquitinase 7A	OTU domain-containing protein 7A
OTUD7B	OTU deubiquitinase 7B	OTU domain-containing protein 7B
OTX1	orthodenticle homeobox 1	Homeobox protein OTX1
OVOL1	ovo like transcriptional repressor 1	Putative transcription factor Ovo-like 1
OVOL3	ovo like zinc finger 3	Putative transcription factor ovo-like protein 3
OXCT1	3-oxoacid CoA-transferase 1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial
OXGR1	oxoglutarate receptor 1	2-oxoglutarate receptor 1
OXNAD1	oxidoreductase NAD binding domain containing 1	Oxidoreductase NAD-binding domain-containing protein 1
OXR1	oxidation resistance 1	Oxidation resistance protein 1
P2RX3	purinergic receptor P2X 3	P2X purinoceptor 3
P2RX6	purinergic receptor P2X 6	P2X purinoceptor 6
P2RY10	P2Y receptor family member 10	Putative P2Y purinoceptor 10
P2RY13	purinergic receptor P2Y13	P2Y purinoceptor 13
P2RY2	purinergic receptor P2Y2	P2Y purinoceptor 2
P3H2	prolyl 3-hydroxylase 2	Prolyl 3-hydroxylase 2
P4HA1	prolyl 4-hydroxylase subunit alpha 1	Prolyl 4-hydroxylase subunit alpha-1
PABIR1	PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1	PPP2R1A-PPP2R2A-interacting phosphatase regulator 1
PABPC3	poly(A) binding protein cytoplasmic 3	Polyadenylate-binding protein 3
PABPC4L	poly(A) binding protein cytoplasmic 4 like	Polyadenylate-binding protein 4-like
PABPN1	poly(A) binding protein nuclear 1	Polyadenylate-binding protein 2
PACSIN1	protein kinase C and casein kinase substrate in neurons 1	Protein kinase C and casein kinase substrate in neurons protein 1
PADI1	peptidyl arginine deiminase 1	Protein-arginine deiminase type-1
PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2	Platelet-activating factor acetylhydrolase IB subunit alpha2
PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succino
PAK1IP1	PAK1 interacting protein 1	p21-activated protein kinase-interacting protein 1
PAK2	p21 (RAC1) activated kinase 2	Serine/threonine-protein kinase PAK 2
PAK3	p21 (RAC1) activated kinase 3	Serine/threonine-protein kinase PAK 3
PAK5	p21 (RAC1) activated kinase 5	Serine/threonine-protein kinase PAK 5
PALB2	partner and localizer of BRCA2	Partner and localizer of BRCA2
PALM	paralemmin	Paralemmin-1
PALS2	protein associated with LIN7 2, MAGUK p55 family member	Protein PALS2
PANX3	pannexin 3	Pannexin-3
PAPLN	papilin, proteoglycan like sulfated glycoprotein	Papilin
PAPOLB	poly(A) polymerase beta	Poly(A) polymerase beta
PAQR3	progestin and adipoQ receptor family member 3	Progestin and adipoQ receptor family member 3
PAQR7	progestin and adipoQ receptor family member 7	Membrane progestin receptor alpha
PARD6A	par-6 family cell polarity regulator alpha	Partitioning defective 6 homolog alpha
PARK7	Parkinsonism associated deglycase	Parkinson disease protein 7
PARP10	poly(ADP-ribose) polymerase family member 10	Protein mono-ADP-ribosyltransferase PARP10
PARP6	poly(ADP-ribose) polymerase family member 6	Protein mono-ADP-ribosyltransferase PARP6
PARVG	parvin gamma	Gamma-parvin
PASK	PAS domain containing serine/threonine kinase	PAS domain-containing serine/threonine-protein kinase
PATE4	prostate and testis expressed 4	Prostate and testis expressed protein 4
PAX6	paired box 6	Paired box protein Pax-6
PAX9	paired box 9	Paired box protein Pax-9
PAXBP1	PAX3 and PAX7 binding protein 1	PAX3- and PAX7-binding protein 1
PAXX	PAXX non-homologous end joining factor	Protein PAXX
PBDC1	polysaccharide biosynthesis domain containing 1	Protein PBDC1
PBK	PDZ binding kinase	Lymphokine-activated killer T-cell-originated protein kinase
PBX1	PBX homeobox 1	Pre-B-cell leukemia transcription factor 1
PBX4	PBX homeobox 4	Pre-B-cell leukemia transcription factor 4
PBXIP1	PBX homeobox interacting protein 1	Pre-B-cell leukemia transcription factor-interacting protein 1
PCBP1	poly(rC) binding protein 1	Poly(rC)-binding protein 1
PCCB	propionyl-CoA carboxylase subunit beta	Propionyl-CoA carboxylase beta chain, mitochondrial
PCDH1	protocadherin 1	Protocadherin-1
PCDH15	protocadherin related 15	Protocadherin-15
PCDH17	protocadherin 17	Protocadherin-17
PCDH9	protocadherin 9	Protocadherin-9
PCED1A	PC-esterase domain containing 1A	PC-esterase domain-containing protein 1A
PCED1B	PC-esterase domain containing 1B	PC-esterase domain-containing protein 1B
PCGF3	polycomb group ring finger 3	Polycomb group RING finger protein 3
PCIF1	phosphorylated CTD interacting factor 1	mRNA
PCLO	piccolo presynaptic cytomatrix protein	Protein piccolo
PCM1	pericentriolar material 1	Pericentriolar material 1 protein
PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	Protein-L-isoaspartate O-methyltransferase domain-containing protein 2
PCNT	pericentrin	Pericentrin
PCNX1	pecanex 1	Pecanex-like protein 1
PCNX3	pecanex 3	Pecanex-like protein 3
PCSK1	proprotein convertase subtilisin/kexin type 1	Neuroendocrine convertase 1
PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	ProSAAS
PCSK6	proprotein convertase subtilisin/kexin type 6	Proprotein convertase subtilisin/kexin type 6
PCSK7	proprotein convertase subtilisin/kexin type 7	Proprotein convertase subtilisin/kexin type 7
PCSK9	proprotein convertase subtilisin/kexin type 9	Proprotein convertase subtilisin/kexin type 9
PDAP1	PDGFA associated protein 1	28 kDa heat- and acid-stable phosphoprotein
PDCD11	programmed cell death 11	Protein RRP5 homolog
PDCD5	programmed cell death 5	Programmed cell death protein 5
PDCD6	programmed cell death 6	Programmed cell death protein 6
PDCD6IP	programmed cell death 6 interacting protein	Programmed cell death 6-interacting protein
PDCL3	phosducin like 3	Phosducin-like protein 3
PDE10A	phosphodiesterase 10A	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A
PDE1C	phosphodiesterase 1C	Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C
PDE3B	phosphodiesterase 3B	cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B
PDE4B	phosphodiesterase 4B	3',5'-cyclic-AMP phosphodiesterase 4B
PDE4D	phosphodiesterase 4D	3',5'-cyclic-AMP phosphodiesterase 4D
PDE4DIP	phosphodiesterase 4D interacting protein	Myomegalin
PDE6C	phosphodiesterase 6C	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'
PDE6H	phosphodiesterase 6H	Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
PDGFB	platelet derived growth factor subunit B	Platelet-derived growth factor subunit B
PDGFD	platelet derived growth factor D	Platelet-derived growth factor D
PDGFRB	platelet derived growth factor receptor beta	Platelet-derived growth factor receptor beta
PDIA3	protein disulfide isomerase family A member 3	Protein disulfide-isomerase A3
PDK1	pyruvate dehydrogenase kinase 1	[Pyruvate dehydrogenase
PDK2	pyruvate dehydrogenase kinase 2	[Pyruvate dehydrogenase
PDK3	pyruvate dehydrogenase kinase 3	[Pyruvate dehydrogenase
PDK4	pyruvate dehydrogenase kinase 4	[Pyruvate dehydrogenase
PDLIM3	PDZ and LIM domain 3	PDZ and LIM domain protein 3
PDLIM5	PDZ and LIM domain 5	PDZ and LIM domain protein 5
PDLIM7	PDZ and LIM domain 7	PDZ and LIM domain protein 7
PDRG1	p53 and DNA damage regulated 1	p53 and DNA damage-regulated protein 1
PDXDC1	pyridoxal dependent decarboxylase domain containing 1	Pyridoxal-dependent decarboxylase domain-containing protein 1
PDXP	pyridoxal phosphatase	Chronophin
PEAK1	pseudopodium enriched atypical kinase 1	Inactive tyrosine-protein kinase PEAK1
PEBP1	phosphatidylethanolamine binding protein 1	Phosphatidylethanolamine-binding protein 1
PECAM1	platelet and endothelial cell adhesion molecule 1	Platelet endothelial cell adhesion molecule
PEDS1	plasmanylethanolamine desaturase 1	Plasmanylethanolamine desaturase 1
PEF1	penta-EF-hand domain containing 1	Peflin
PELO	pelota mRNA surveillance and ribosome rescue factor	Protein pelota homolog
PEMT	phosphatidylethanolamine N-methyltransferase	Phosphatidylethanolamine N-methyltransferase
PER1	period circadian regulator 1	Period circadian protein homolog 1
PERP	p53 apoptosis effector related to PMP22	p53 apoptosis effector related to PMP-22
PET117	PET117 cytochrome c oxidase chaperone	Protein PET117 homolog, mitochondrial
PEX14	peroxisomal biogenesis factor 14	Peroxisomal membrane protein PEX14
PEX2	peroxisomal biogenesis factor 2	Peroxisome biogenesis factor 2
PEX3	peroxisomal biogenesis factor 3	Peroxisomal biogenesis factor 3
PEX39	peroxisomal biogenesis factor 39	Peroxisomal biogenesis factor 39
PFKP	phosphofructokinase, platelet	ATP-dependent 6-phosphofructokinase, platelet type
PFN3	profilin 3	Profilin-3
PGAM4	phosphoglycerate mutase family member 4	Probable phosphoglycerate mutase 4
PGAP3	post-GPI attachment to proteins phospholipase 3	GPI-specific phospholipase A2-like PGAP3
PGBD1	piggyBac transposable element derived 1	PiggyBac transposable element-derived protein 1
