# cystinuria 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0009067) の関連遺伝子 397 件と、
# 承認薬の標的 8 件を必ず含む（重複を除いて 397 件）。
# 残り 4603 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
MTMR4	myotubularin related protein 4	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR4
MTNR1A	melatonin receptor 1A	Melatonin receptor type 1A
MTNR1B	melatonin receptor 1B	Melatonin receptor type 1B
MTPN	myotrophin	Myotrophin
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	Methionine synthase
MTSS1	MTSS I-BAR domain containing 1	Protein MTSS 1
MTX2	metaxin 2	Metaxin-2
MUC2	mucin 2, oligomeric mucus/gel-forming	Mucin-2
MUC20	mucin 20, cell surface associated	Mucin-20
MUC22	mucin 22	Mucin-22
MUC5B	mucin 5B, oligomeric mucus/gel-forming	Mucin-5B
MUC6	mucin 6, oligomeric mucus/gel-forming (gene/pseudogene)	Mucin-6
MUCL1	mucin like 1	Mucin-like protein 1
MUCL3	mucin like 3	Mucin-like protein 3
MUSK	muscle associated receptor tyrosine kinase	Muscle, skeletal receptor tyrosine-protein kinase
MX1	MX dynamin like GTPase 1	Interferon-induced GTP-binding protein Mx1
MXD3	MAX dimerization protein 3	Max dimerization protein 3
MXRA7	matrix remodeling associated 7	Matrix-remodeling-associated protein 7
MYB	MYB proto-oncogene, transcription factor	Transcriptional activator Myb
MYBL2	MYB proto-oncogene like 2	Myb-related protein B
MYBPC2	myosin binding protein C2	Myosin-binding protein C, fast-type
MYBPC3	myosin binding protein C3	Myosin-binding protein C, cardiac-type
MYCBP	MYC binding protein	c-Myc-binding protein
MYCBP2	MYC binding protein 2	E3 ubiquitin-protein ligase MYCBP2
MYCBPAP	MYCBP associated protein	MYCBP-associated protein
MYCN	MYCN proto-oncogene, bHLH transcription factor	N-myc proto-oncogene protein
MYCT1	MYC target 1	Myc target protein 1
MYD88	MYD88 innate immune signal transduction adaptor	Myeloid differentiation primary response protein MyD88
MYH10	myosin heavy chain 10	Myosin-10
MYH3	myosin heavy chain 3	Myosin-3
MYL1	myosin light chain 1	Myosin light chain 1/3, skeletal muscle isoform
MYL12A	myosin light chain 12A	Myosin regulatory light chain 12A
MYL2	myosin light chain 2	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform
MYL3	myosin light chain 3	Myosin light chain 3
MYL7	myosin light chain 7	Myosin regulatory light chain 2, atrial isoform
MYLIP	myosin regulatory light chain interacting protein	E3 ubiquitin-protein ligase MYLIP
MYLK	myosin light chain kinase	Myosin light chain kinase, smooth muscle
MYNN	myoneurin	Myoneurin
MYO10	myosin X	Unconventional myosin-X
MYO1E	myosin IE	Unconventional myosin-Ie
MYO1G	myosin IG	Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2
MYO5B	myosin VB	Unconventional myosin-Vb
MYO9B	myosin IXB	Unconventional myosin-IXb
MYOC	myocilin	Myocilin
MYORG	myogenesis regulating glycosidase	Alpha-galactosidase MYORG
MYOZ1	myozenin 1	Myozenin-1
MYPN	myopalladin	Myopalladin
MYRF	myelin regulatory factor	Myelin regulatory factor
MYT1	myelin transcription factor 1	Myelin transcription factor 1
MZB1	marginal zone B and B1 cell specific protein	Marginal zone B- and B1-cell-specific protein
MZT2A	mitotic spindle organizing protein 2A	Mitotic-spindle organizing protein 2A
NAA11	N-alpha-acetyltransferase 11, NatA catalytic subunit	N-alpha-acetyltransferase 11
NAA35	N-alpha-acetyltransferase 35, NatC auxiliary subunit	N-alpha-acetyltransferase 35, NatC auxiliary subunit
NABP1	nucleic acid binding protein 1	SOSS complex subunit B2
NACA2	nascent polypeptide associated complex subunit alpha 2	Nascent polypeptide-associated complex subunit alpha-2
NACAD	NAC alpha domain containing	NAC-alpha domain-containing protein 1
NADK	NAD kinase	NAD kinase
NAGLU	N-acetyl-alpha-glucosaminidase	Alpha-N-acetylglucosaminidase
NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
NALCN	sodium leak channel, non-selective	Sodium leak channel NALCN
NALF1	NALCN channel auxiliary factor 1	NALCN channel auxiliary factor 1
NAMPT	nicotinamide phosphoribosyltransferase	Nicotinamide phosphoribosyltransferase
NANOGNB	NANOG neighbor homeobox	NANOG neighbor homeobox
NANOGP8	Nanog homeobox retrogene P8	Homeobox protein NANOGP8
NANOS2	nanos C2HC-type zinc finger 2	Nanos homolog 2
NANP	N-acetylneuraminic acid phosphatase	N-acylneuraminate-9-phosphatase
NANS	N-acetylneuraminate synthase	N-acetylneuraminate-9-phosphate synthase
NAP1L1	nucleosome assembly protein 1 like 1	Nucleosome assembly protein 1-like 1
NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D
NAPSA	napsin A aspartic peptidase	Napsin-A
NARS2	asparaginyl-tRNA synthetase 2, mitochondrial	Asparaginyl-tRNA synthetase
NAT14	N-acetyltransferase 14 (putative)	Probable N-acetyltransferase 14
NATD1	N-acetyltransferase domain containing 1	Protein NATD1
NAXE	NAD(P)HX epimerase	NAD(P)H-hydrate epimerase
NBAS	NBAS subunit of NRZ tethering complex	NBAS subunit of NRZ tethering complex
NBPF10	NBPF member 10	NBPF family member NBPF10
NBPF14	NBPF member 14	NBPF family member NBPF14
NBPF19	NBPF member 19	NBPF family member NBPF19
NBPF3	NBPF member 3	NBPF family member NBPF3
NCAM2	neural cell adhesion molecule 2	Neural cell adhesion molecule 2
NCAN	neurocan	Neurocan core protein
NCAPH	non-SMC condensin I complex subunit H	Condensin complex subunit 2
NCEH1	neutral cholesterol ester hydrolase 1	Neutral cholesterol ester hydrolase 1
NCF1	neutrophil cytosolic factor 1	Neutrophil cytosol factor 1
NCF4	neutrophil cytosolic factor 4	Neutrophil cytosol factor 4
NCK2	NCK adaptor protein 2	Cytoplasmic protein NCK2
NCKAP1L	NCK associated protein 1 like	Nck-associated protein 1-like
NCKAP5L	NCK associated protein 5 like	Nck-associated protein 5-like
NCOA1	nuclear receptor coactivator 1	Nuclear receptor coactivator 1
NCOA3	nuclear receptor coactivator 3	Nuclear receptor coactivator 3
NCOA6	nuclear receptor coactivator 6	Nuclear receptor coactivator 6
NDOR1	NADPH dependent diflavin oxidoreductase 1	NADPH-dependent diflavin oxidoreductase 1
NDP	norrin cystine knot growth factor NDP	Norrin
NDRG2	NDRG family member 2	Protein NDRG2
NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1
NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
NDUFA6	NADH:ubiquinone oxidoreductase subunit A6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	Arginine-hydroxylase NDUFAF5, mitochondrial
NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	Protein arginine methyltransferase NDUFAF7, mitochondrial
NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial
NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial
NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial
NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
NECTIN1	nectin cell adhesion molecule 1	Nectin-1
NEDD4L	NEDD4 like E3 ubiquitin protein ligase	E3 ubiquitin-protein ligase NEDD4-like
NEDD9	neural precursor cell expressed, developmentally down-regulated 9	Enhancer of filamentation 1
NEFL	neurofilament light chain	Neurofilament light polypeptide
NEIL3	nei like DNA glycosylase 3	Endonuclease 8-like 3
NEK7	NIMA related kinase 7	Serine/threonine-protein kinase Nek7
NEK8	NIMA related kinase 8	Serine/threonine-protein kinase Nek8
NENF	neudesin neurotrophic factor	Neudesin
NEU3	neuraminidase 3	Sialidase-3
NEU4	neuraminidase 4	Sialidase-4
NFASC	neurofascin	Neurofascin
NFATC1	nuclear factor of activated T cells 1	Nuclear factor of activated T-cells, cytoplasmic 1
NFATC2	nuclear factor of activated T cells 2	Nuclear factor of activated T-cells, cytoplasmic 2
NFATC2IP	nuclear factor of activated T cells 2 interacting protein	NFATC2-interacting protein
NFIA	nuclear factor I A	Nuclear factor 1 A-type
NFKBIA	NFKB inhibitor alpha	NF-kappa-B inhibitor alpha
NFKBIE	NFKB inhibitor epsilon	NF-kappa-B inhibitor epsilon
NFRKB	nuclear factor related to kappaB binding protein	Nuclear factor related to kappa-B-binding protein
NFXL1	nuclear transcription factor, X-box binding like 1	NF-X1-type zinc finger protein NFXL1
NGEF	neuronal guanine nucleotide exchange factor	Ephexin-1
NGRN	neugrin, neurite outgrowth associated	Neugrin
NHERF1	NHERF family PDZ scaffold protein 1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1
NHLH2	nescient helix-loop-helix 2	Helix-loop-helix protein 2
NHSL2	NHS like 2	NHS-like protein 2
NHSL3	NHS like 3	NHS-like protein 3
NIBAN1	niban apoptosis regulator 1	Protein Niban 1
NINJ2	ninjurin 2	Ninjurin-2
NIPA1	NIPA magnesium transporter 1	Magnesium transporter NIPA1
NIPAL1	NIPA like domain containing 1	Magnesium transporter NIPA3
NIPAL2	NIPA like domain containing 2	NIPA-like protein 2
NIPAL4	NIPA like domain containing 4	Magnesium transporter NIPA4
NIPBL	NIPBL cohesin loading factor	Nipped-B-like protein
NIT2	nitrilase family member 2	Omega-amidase NIT2
NKD1	NKD inhibitor of Wnt signaling pathway 1	Protein naked cuticle homolog 1
NKIRAS2	NFKB inhibitor interacting Ras like 2	NF-kappa-B inhibitor-interacting Ras-like protein 2
NKX2-6	NK2 homeobox 6	Homeobox protein Nkx-2.6
NKX6-1	NK6 homeobox 1	Homeobox protein Nkx-6.1
NKX6-3	NK6 homeobox 3	Homeobox protein Nkx-6.3
NLGN2	neuroligin 2	Neuroligin-2
NLGN4X	neuroligin 4 X-linked	Neuroligin-4, X-linked
NLRP1	NLR family pyrin domain containing 1	NACHT, LRR and PYD domains-containing protein 1
NLRP10	NLR family pyrin domain containing 10	NACHT, LRR and PYD domains-containing protein 10
NLRP2B	NLR family pyrin domain containing 2B	NLR family pyrin domain-containing protein 2B
NLRP5	NLR family pyrin domain containing 5	NACHT, LRR and PYD domains-containing protein 5
NMB	neuromedin B	Neuromedin-B [Cleaved into: Neuromedin-B-32; Neuromedin-B]
NME1	NME/NM23 nucleoside diphosphate kinase 1	Nucleoside diphosphate kinase A
NME9	NME/NM23 family member 9	Thioredoxin domain-containing protein 6
NMI	N-myc and STAT interactor	N-myc-interactor
NMNAT1	nicotinamide nucleotide adenylyltransferase 1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
NMT2	N-myristoyltransferase 2	Glycylpeptide N-tetradecanoyltransferase 2
NMUR2	neuromedin U receptor 2	Neuromedin-U receptor 2
NOA1	nitric oxide associated 1	Nitric oxide-associated protein 1
NOB1	NIN1 (RPN12) binding protein 1 homolog	RNA-binding protein NOB1
NOC2L	NOC2 like nucleolar associated transcriptional repressor	Nucleolar complex protein 2 homolog
NOCT	nocturnin	Nocturnin
NOL7	nucleolar protein 7	U3 small nucleolar RNA-associated protein NOL7
NOP10	NOP10 ribonucleoprotein	H/ACA ribonucleoprotein complex subunit 3
NOP56	NOP56 ribonucleoprotein	Nucleolar protein 56
NOS1	nitric oxide synthase 1	Nitric oxide synthase 1
NOS1AP	nitric oxide synthase 1 adaptor protein	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
NOS3	nitric oxide synthase 3	Nitric oxide synthase 3
NOTCH1	notch receptor 1	Neurogenic locus notch homolog protein 1
NOTCH3	notch receptor 3	Neurogenic locus notch homolog protein 3
NOVA2	NOVA alternative splicing regulator 2	RNA-binding protein Nova-2
NOX4	NADPH oxidase 4	NADPH oxidase 4
NPDC1	neural proliferation, differentiation and control 1	Neural proliferation differentiation and control protein 1
NPEPL1	aminopeptidase like 1	Probable aminopeptidase NPEPL1
NPHP3	nephrocystin 3	Nephrocystin-3
NPHS1	NPHS1 adhesion molecule, nephrin	Nephrin
NPHS2	NPHS2 stomatin family member, podocin	Podocin
NPIPA5	nuclear pore complex interacting protein family member A5	Nuclear pore complex-interacting protein family member A5
NPIPB15	nuclear pore complex interacting protein family member B15	Nuclear pore complex-interacting protein family member B15
NPIPB7	nuclear pore complex interacting protein family member B7	Nuclear pore complex-interacting protein family member B7
NPIPB8	nuclear pore complex interacting protein family member B8	Nuclear pore complex-interacting protein family member B8
NPL	N-acetylneuraminate pyruvate lyase	N-acetylneuraminate lyase
NPLOC4	NPL4 homolog, ubiquitin recognition factor	Nuclear protein localization protein 4 homolog
NPNT	nephronectin	Nephronectin
NPPA	natriuretic peptide A	Natriuretic peptides A
NPPB	natriuretic peptide B	Natriuretic peptides B
NPTX2	neuronal pentraxin 2	Neuronal pentraxin-2
NPY2R	neuropeptide Y receptor Y2	Neuropeptide Y receptor type 2
NPY4R2	neuropeptide Y receptor Y4-2	Neuropeptide Y receptor type 4-2
NQO1	NAD(P)H quinone dehydrogenase 1	NAD(P)H dehydrogenase [quinone] 1
NR0B2	nuclear receptor subfamily 0 group B member 2	Nuclear receptor subfamily 0 group B member 2
NR1D1	nuclear receptor subfamily 1 group D member 1	Nuclear receptor subfamily 1 group D member 1
NR1H3	nuclear receptor subfamily 1 group H member 3	Oxysterols receptor LXR-alpha
NR1I3	nuclear receptor subfamily 1 group I member 3	Nuclear receptor subfamily 1 group I member 3
NR2C1	nuclear receptor subfamily 2 group C member 1	Nuclear receptor subfamily 2 group C member 1
NR2C2	nuclear receptor subfamily 2 group C member 2	Nuclear receptor subfamily 2 group C member 2
NR3C2	nuclear receptor subfamily 3 group C member 2	Mineralocorticoid receptor
NR4A3	nuclear receptor subfamily 4 group A member 3	Nuclear receptor subfamily 4 group A member 3
NRAS	NRAS proto-oncogene, GTPase	GTPase NRas
NRBF2	nuclear receptor binding factor 2	Nuclear receptor-binding factor 2
NRG3	neuregulin 3	Pro-neuregulin-3, membrane-bound isoform
NRGN	neurogranin	Neurogranin
NRIP1	nuclear receptor interacting protein 1	Nuclear receptor-interacting protein 1
NRM	nurim	Nurim
NRN1	neuritin 1	Neuritin
NRTN	neurturin	Neurturin
NRXN1	neurexin 1	Neurexin-1-beta
NSL1	NSL1 component of MIS12 kinetochore complex	Kinetochore-associated protein NSL1 homolog
NSMCE3	NSE3 component of SMC5/6 complex	Non-structural maintenance of chromosomes element 3 homolog
NSUN3	NOP2/Sun RNA methyltransferase 3	tRNA
NSUN6	NOP2/Sun RNA methyltransferase 6	tRNA
NT5C2	5'-nucleotidase, cytosolic II	Cytosolic purine 5'-nucleotidase
NT5DC1	5'-nucleotidase domain containing 1	5'-nucleotidase domain-containing protein 1
NT5DC4	5'-nucleotidase domain containing 4	5'-nucleotidase domain-containing protein 4
NT5E	5'-nucleotidase ecto	5'-nucleotidase
NT5M	5',3'-nucleotidase, mitochondrial	5'(3')-deoxyribonucleotidase, mitochondrial
NTN4	netrin 4	Netrin-4
NTN5	netrin 5	Netrin-5
NUAK1	NUAK family kinase 1	NUAK family SNF1-like kinase 1
NUBP1	NUBP iron-sulfur cluster assembly factor 1, cytosolic	Cytosolic Fe-S cluster assembly factor NUBP1
NUBP2	NUBP iron-sulfur cluster assembly factor 2, cytosolic	Cytosolic Fe-S cluster assembly factor NUBP2
NUDT11	nudix hydrolase 11	Diphosphoinositol polyphosphate phosphohydrolase 3-beta
NUDT19	nudix hydrolase 19	Acyl-coenzyme A diphosphatase NUDT19
NUDT22	nudix hydrolase 22	Uridine diphosphate glucose pyrophosphatase NUDT22
NUDT3	nudix hydrolase 3	Diphosphoinositol polyphosphate phosphohydrolase 1
NUP155	nucleoporin 155	Nuclear pore complex protein Nup155
NUP188	nucleoporin 188	Nucleoporin NUP188
NUP35	nucleoporin 35	Nucleoporin NUP35
NUP37	nucleoporin 37	Nucleoporin Nup37
NUP54	nucleoporin 54	Nucleoporin p54
NUP62	nucleoporin 62	Nuclear pore glycoprotein p62
NUP88	nucleoporin 88	Nuclear pore complex protein Nup88
NUPR1	nuclear protein 1, transcriptional regulator	Nuclear protein 1
NUTM2D	NUT family member 2D	NUT family member 2D
NXF2	nuclear RNA export factor 2	
NXN	nucleoredoxin	Nucleoredoxin
NXNL1	nucleoredoxin like 1	Nucleoredoxin-like protein 1
NXPE1	neurexophilin and PC-esterase domain family member 1	NXPE family member 1
NXPE2	neurexophilin and PC-esterase domain family member 2	NXPE family member 2
NXPE3	neurexophilin and PC-esterase domain family member 3	NXPE family member 3
NXPE4	neurexophilin and PC-esterase domain family member 4	NXPE family member 4
NXPH4	neurexophilin 4	Neurexophilin-4
OAT	ornithine aminotransferase	Ornithine aminotransferase, mitochondrial
OAZ3	ornithine decarboxylase antizyme 3	Ornithine decarboxylase antizyme 3
OBP2A	odorant binding protein 2A	Odorant-binding protein 2a
OCEL1	occludin/ELL domain containing 1	Occludin/ELL domain-containing protein 1
ODAM	odontogenic, ameloblast associated	Odontogenic ameloblast-associated protein
ODAPH	odontogenesis associated phosphoprotein	Odontogenesis associated phosphoprotein
ODF2	outer dense fiber of sperm tails 2	Outer dense fiber protein 2
OGDH	oxoglutarate dehydrogenase	2-oxoglutarate dehydrogenase complex component E1
OGDHL	oxoglutarate dehydrogenase L	2-oxoglutarate dehydrogenase-like, mitochondrial
OIT3	oncoprotein induced transcript 3	Oncoprotein-induced transcript 3 protein
OLFM2	olfactomedin 2	Noelin-2
OLFML1	olfactomedin like 1	Olfactomedin-like protein 1
OLIG2	oligodendrocyte transcription factor 2	Oligodendrocyte transcription factor 2
